day,section,page_path,banner_src,resolved_image_path,image_exists,image_size_bytes,status,is_dedicated_per_day,has_visible_placeholder,placeholder_details,notes
48,s5,daily/s5/day48.htm,../../images/daily/s5/day48-banner.jpg,images/daily/s5/day48-banner.jpg,True,174516,GOOD,True,False,,
49,s5,daily/s5/day49.htm,../../images/daily/s5/day49-banner.jpg,images/daily/s5/day49-banner.jpg,True,140550,GOOD,True,False,,
50,s5,daily/s5/day50.htm,../../images/daily/s5/day50-banner.jpg,images/daily/s5/day50-banner.jpg,True,158612,GOOD,True,False,,
51,s6,daily/s6/day51.htm,../../images/daily/s6/day51.png,images/daily/s6/day51.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s6/day51.png
52,s6,daily/s6/day52.htm,../../images/daily/s6/day52.png,images/daily/s6/day52.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s6/day52.png
53,s6,daily/s6/day53.htm,../../images/daily/s6/day53.png,images/daily/s6/day53.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s6/day53.png
54,s6,daily/s6/day54.htm,../../images/daily/s6/day54.png,images/daily/s6/day54.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s6/day54.png
55,s6,daily/s6/day55.htm,../../images/daily/s6/day55.png,images/daily/s6/day55.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s6/day55.png
56,s6,daily/s6/day56.htm,../../images/daily/s6/day56.png,images/daily/s6/day56.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s6/day56.png
57,s6,daily/s6/day57.htm,../../images/daily/s6/day57.png,images/daily/s6/day57.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s6/day57.png
58,s6,daily/s6/day58.htm,../../images/daily/s6/day58.png,images/daily/s6/day58.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s6/day58.png
59,s6,daily/s6/day59.htm,../../images/daily/s6/day59.png,images/daily/s6/day59.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s6/day59.png
60,s6,daily/s6/day60.htm,../../images/daily/s6/day60.png,images/daily/s6/day60.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s6/day60.png
61,s7,daily/s7/day61.htm,../../images/daily/s7/day61.png,images/daily/s7/day61.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s7/day61.png
62,s7,daily/s7/day62.htm,../../images/daily/s7/day62.png,images/daily/s7/day62.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s7/day62.png
63,s7,daily/s7/day63.htm,../../images/daily/s7/day63.png,images/daily/s7/day63.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s7/day63.png
64,s7,daily/s7/day64.htm,../../images/daily/s7/day64.png,images/daily/s7/day64.png,False,,FILENAME_MISMATCH,True,False,,Correct image likely exists as day64.jpg
65,s7,daily/s7/day65.htm,../../images/daily/s7/day65.png,images/daily/s7/day65.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s7/day65.png
66,s7,daily/s7/day66.htm,../../images/daily/s7/day66.png,images/daily/s7/day66.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s7/day66.png
67,s7,daily/s7/day67.htm,../../images/daily/s7/day67.png,images/daily/s7/day67.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s7/day67.png
68,s7,daily/s7/day68.htm,../../images/daily/s7/day68.png,images/daily/s7/day68.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s7/day68.png
69,s7,daily/s7/day69.htm,../../images/daily/s7/day69.png,images/daily/s7/day69.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s7/day69.png
70,s7,daily/s7/day70.htm,../../images/daily/s7/day70.png,images/daily/s7/day70.png,False,,MISSING,False,False,,Referenced file does not exist: ../../images/daily/s7/day70.png
